Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
TU,S44-18-30.39,E171-13-30.20,NDB,NZCS,POINT (171.22505555555557 -44.30844166666667)
TU,S44-18-30.39,E171-13-30.20,NDB,NZZO,POINT (171.22505555555557 -44.30844166666667)
TU,N25-59-24.33,E063-01-47.39,NDB,OPKR,POINT (63.029830555555556 25.990091666666668)
TU,N55-51-15.01,E032-56-20.97,NDB,UUWV,POINT (32.93915833333333 55.854169444444445)
TU,N55-51-15.01,E032-56-20.97,NDB,UUWV-N,POINT (32.93915833333333 55.854169444444445)
TU,N55-51-15.01,E032-56-20.97,NDB,UUWV-W,POINT (32.93915833333333 55.854169444444445)
TU,S23-23-28.25,E043-43-19.13,NAV,FMMM,POINT (43.72198055555556 -23.391180555555554)
TUC,N36-51-04.91,E010-13-51.97,NAV,DTTC,POINT (10.231102777777778 36.85136388888889)
TUC,S26-50-44.57,W065-06-30.44,NAV,SACF,POINT (-65.10845555555555 -26.845713888888888)
TUL,N36-11-46.54,W095-47-17.16,NAV,KZKC,POINT (-95.7881 36.196261111111106)
TUM,N09-03-05.60,W079-24-00.22,NAV,MPZL,POINT (-79.40006111111111 9.051555555555556)
TUS,N32-05-42.74,W110-54-53.49,NAV,KZAB,POINT (-110.91485833333334 32.09520555555556)
TUT,S14-19-55.69,W170-43-10.17,NDB,NSFA,POINT (-170.71949166666667 -14.332136111111112)
TUT,S14-19-55.69,W170-43-10.17,NDB,NZZO,POINT (-170.71949166666667 -14.332136111111112)
TUY,N10-17-31.13,W066-47-55.39,NAV,SVZM,POINT (-66.79871944444444 10.291980555555556)
TV,S18-35-07.79,W173-58-10.79,NDB,NZZO,POINT (-173.9696638888889 -18.58549722222222)
TVC,N44-40-04.52,W085-33-00.00,NAV,KZMP,POINT (-85.55 44.66792222222222)
