Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
TLA,N55-29-56.87,W003-21-10.10,NAV,EGPX-D,POINT (-3.352805555555556 55.49913055555556)
TLA,N55-29-56.87,W003-21-10.10,NAV,EGPX-S,POINT (-3.352805555555556 55.49913055555556)
TLA,N55-29-56.87,W003-21-10.10,NAV,EGPX-WD,POINT (-3.352805555555556 55.49913055555556)
TLA,N55-29-56.87,W003-21-10.10,NAV,EGVV,POINT (-3.352805555555556 55.49913055555556)
TLC,N19-19-58.33,W099-33-39.69,NAV,MMEX,POINT (-99.561025 19.332869444444444)
TLC,N19-19-58.33,W099-33-39.69,NAV,MMFR,POINT (-99.561025 19.332869444444444)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM,POINT (-4.3373888888888885 39.96946388888889)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM-ALL,POINT (-4.3373888888888885 39.96946388888889)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM-R2,POINT (-4.3373888888888885 39.96946388888889)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM-TLI,POINT (-4.3373888888888885 39.96946388888889)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM-TLU,POINT (-4.3373888888888885 39.96946388888889)
TLD,N39-58-10.07,W004-20-14.60,NAV,LECM-ZMU,POINT (-4.3373888888888885 39.96946388888889)
TLE,N09-34-24.57,W000-50-49.66,NAV,DGAC,POINT (-0.8471277777777778 9.573491666666666)
TM,S38-55-17.53,E175-18-49.43,NDB,NZAA,POINT (175.31373055555557 -38.92153611111111)
TM,S38-55-17.53,E175-18-49.43,NDB,NZAR,POINT (175.31373055555557 -38.92153611111111)
TM,S38-55-17.53,E175-18-49.43,NDB,NZZO,POINT (175.31373055555557 -38.92153611111111)
TME,N06-27-10.99,W071-45-14.03,NAV,SKED,POINT (-71.75389722222222 6.453052777777778)
TMK,S04-31-01.71,E136-52-02.01,NAV,WAAF,POINT (136.86722500000002 -4.517141666666666)
TMK,S04-31-01.71,E136-52-02.01,NAV,WAAF-PA,POINT (136.86722500000002 -4.517141666666666)
TMN,N22-02-18.56,W098-48-28.60,NAV,MMEX,POINT (-98.80794444444444 22.03848888888889)
TMN,N22-02-18.56,W098-48-28.60,NAV,MMFR,POINT (-98.80794444444444 22.03848888888889)
TMR,N41-50-36.03,E113-09-12.04,NAV,ZBAA,POINT (113.15334444444446 41.84334166666667)
TMR,N41-50-36.03,E113-09-12.04,NAV,ZBAA-N,POINT (113.15334444444446 41.84334166666667)
TMR,N41-50-36.03,E113-09-12.04,NAV,ZBHH,POINT (113.15334444444446 41.84334166666667)
TMR,N41-50-36.03,E113-09-12.04,NAV,ZBPE,POINT (113.15334444444446 41.84334166666667)
TMS,N22-48-27.42,E005-26-47.53,NAV,DAAA,POINT (5.4465361111111115 22.807616666666668)
TN,S18-18-57.80,E047-06-49.59,NDB,FMMM,POINT (47.113775000000004 -18.316055555555558)
TN,S14-31-09.14,E132-22-15.62,NAV,YTRS,POINT (132.37100555555557 -14.519205555555557)
TN,S14-31-09.14,E132-22-15.62,NAV,YTRT,POINT (132.37100555555557 -14.519205555555557)
TN,N66-13-14.88,W015-19-52.42,NDB,BIRD,POINT (-15.331227777777778 66.2208)
TN,N66-13-14.88,W015-19-52.42,NDB,BIRD-S,POINT (-15.331227777777778 66.2208)
TNA,S05-03-44.88,W042-49-30.49,NAV,SBRE,POINT (-42.825136111111114 -5.0624666666666664)
TNA,S05-03-44.88,W042-49-30.49,NAV,SBRE-NW,POINT (-42.825136111111114 -5.0624666666666664)
TNA,S05-03-44.88,W042-49-30.49,NAV,SBRE-SW,POINT (-42.825136111111114 -5.0624666666666664)
TNA,S05-03-44.88,W042-49-30.49,NAV,SBRE-W,POINT (-42.825136111111114 -5.0624666666666664)
TNK,S19-38-04.97,E134-10-55.01,NAV,YISA,POINT (134.18194722222222 -19.63471388888889)
TNK,S19-38-04.97,E134-10-55.01,NAV,YSTR,POINT (134.18194722222222 -19.63471388888889)
TNN,N23-08-07.07,E120-12-22.32,NAV,RCAA,POINT (120.20620000000001 23.13529722222222)
TNO,N55-46-26.73,E011-26-21.09,NAV,EKDK,POINT (11.439191666666668 55.77409166666666)
TNO,N55-46-26.73,E011-26-21.09,NAV,EKDK-E,POINT (11.439191666666668 55.77409166666666)
TNP,N34-06-44.02,W115-46-11.69,NAV,KZLA,POINT (-115.7699138888889 34.11222777777778)
TNR,N35-44-03.01,W005-55-09.30,NAV,GMMM-ALL,POINT (-5.91925 35.73416944444445)
TNR,N35-44-03.01,W005-55-09.30,NAV,GMMM,POINT (-5.91925 35.73416944444445)
TNR,N35-44-03.01,W005-55-09.30,NAV,GMMM-NE,POINT (-5.91925 35.73416944444445)
TNR,N35-44-03.01,W005-55-09.30,NAV,GMMM-N,POINT (-5.91925 35.73416944444445)
TNT,N14-01-44.11,W087-13-44.78,NAV,MHCC,POINT (-87.22910555555556 14.028919444444446)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGTM,POINT (-1.6699638888888888 53.05394444444444)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGTM-W,POINT (-1.6699638888888888 53.05394444444444)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGTT,POINT (-1.6699638888888888 53.05394444444444)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGTT-N,POINT (-1.6699638888888888 53.05394444444444)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGTT-NW,POINT (-1.6699638888888888 53.05394444444444)
TNT,N53-03-14.20,W001-40-11.87,NAV,EGVV,POINT (-1.6699638888888888 53.05394444444444)
TNT,N46-01-12.89,E011-08-24.03,NAV,LIPP,POINT (11.140008333333332 46.020247222222224)
TNU,N41-47-01.97,W093-06-32.48,NAV,KZAU,POINT (-93.10902222222222 41.783880555555555)
TNV,S18-48-12.01,E047-31-07.17,NAV,FMMM,POINT (47.518658333333335 -18.80333611111111)
TNV,N30-17-18.72,W096-03-29.63,NAV,KZHU,POINT (-96.05823055555555 30.288533333333334)
TNY,N21-25-35.46,W104-50-13.10,NAV,MMEX,POINT (-104.83697222222222 21.426516666666668)
TNY,N21-25-35.46,W104-50-13.10,NAV,MMFR,POINT (-104.83697222222222 21.426516666666668)
TOL,N29-45-48.01,E119-39-35.99,NAV,ZSHA,POINT (119.65999722222223 29.763336111111112)
TOL,N29-45-48.01,E119-39-35.99,NAV,ZSSS,POINT (119.65999722222223 29.763336111111112)
TOL,N29-45-48.01,E119-39-35.99,NAV,ZSSS-C,POINT (119.65999722222223 29.763336111111112)
TON,N33-56-28.66,E008-06-01.36,NAV,DTTC,POINT (8.100377777777778 33.94129444444444)
TOP,N44-55-31.49,E007-51-41.98,NAV,LIMM,POINT (7.86166111111111 44.92541388888888)
TOP,N39-08-13.48,W095-32-57.01,NAV,KZKC,POINT (-95.54916944444444 39.137077777777776)
TOU,N43-40-50.97,E001-18-35.27,NAV,LFBB,POINT (1.3097972222222223 43.680825)
TOU,N43-40-50.97,E001-18-35.27,NAV,LFBB-N,POINT (1.3097972222222223 43.680825)
TOU,N43-40-50.97,E001-18-35.27,NAV,LFBB-US,POINT (1.3097972222222223 43.680825)
TOU,N48-17-59.60,W124-37-37.34,NAV,KZSE,POINT (-124.62703888888888 48.29988888888889)
TOY,S30-16-35.00,W071-28-25.02,NAV,SCEZ,POINT (-71.47361666666667 -30.27638888888889)
TOY,N38-44-20.92,W089-55-06.92,NAV,KZKC,POINT (-89.91858888888889 38.73914444444445)
TPG,N00-54-12.82,E104-30-52.38,NAV,WIIF,POINT (104.51455 0.9035611111111111)
TPG,N00-54-12.82,E104-30-52.38,NAV,WIIF-PK,POINT (104.51455 0.9035611111111111)
TPG,N00-54-12.82,E104-30-52.38,NAV,WIIF-TG,POINT (104.51455 0.9035611111111111)
TPH,N38-01-50.28,W117-02-00.65,NAV,KZLC,POINT (-117.03351388888889 38.030633333333334)
TPI,N32-39-40.76,E013-09-17.58,NAV,HLLL,POINT (13.154883333333334 32.66132222222222)
TPL,N44-08-36.58,E020-44-39.99,NAV,ADR,POINT (20.744441666666667 44.14349444444444)
TPL,N44-08-36.58,E020-44-39.99,NAV,ADR-E,POINT (20.744441666666667 44.14349444444444)
TPL,N44-08-36.58,E020-44-39.99,NAV,LYBA,POINT (20.744441666666667 44.14349444444444)
TPN,S02-43-28.52,E107-45-11.67,NAV,WIIF,POINT (107.75324166666667 -2.724588888888889)
TPN,S02-43-28.52,E107-45-11.67,NAV,WIIF-PK,POINT (107.75324166666667 -2.724588888888889)
TPN,S02-43-28.52,E107-45-11.67,NAV,WIIF-TN,POINT (107.75324166666667 -2.724588888888889)
TQA,N32-14-08.64,W099-49-00.40,NAV,KZFW,POINT (-99.81677777777777 32.235733333333336)
TQO,N20-09-37.46,W087-38-18.82,NAV,MMFR,POINT (-87.63856111111112 20.160405555555553)
TQO,N20-09-37.46,W087-38-18.82,NAV,MMID,POINT (-87.63856111111112 20.160405555555553)
TQS,N00-44-32.00,W075-14-00.97,NAV,SKED,POINT (-75.23360277777778 0.7422222222222221)
TR,N52-09-00.00,E093-54-17.99,NDB,UNKL,POINT (93.90499722222222 52.15)
TR,N52-09-00.00,E093-54-17.99,NDB,UNKL-S,POINT (93.90499722222222 52.15)
TR,N52-09-00.00,E093-54-17.99,NDB,UNKL-S1,POINT (93.90499722222222 52.15)
TRA,N47-41-22.22,E008-26-13.07,NAV,LSAS,POINT (8.436963888888888 47.68950555555555)
TRA,N47-41-22.22,E008-26-13.07,NAV,LSAZ,POINT (8.436963888888888 47.68950555555555)
TRB,N35-20-51.94,E001-30-53.68,NAV,DAAA,POINT (1.514911111111111 35.34776111111111)
TRC,N25-33-50.26,W103-24-30.26,NAV,MMFR,POINT (-103.40840555555556 25.563961111111112)
TRC,N25-33-50.26,W103-24-30.26,NAV,MMTY,POINT (-103.40840555555556 25.563961111111112)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJBG,POINT (134.1648888888889 35.527297222222224)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJBG-E,POINT (134.1648888888889 35.527297222222224)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJBG-N,POINT (134.1648888888889 35.527297222222224)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJDG,POINT (134.1648888888889 35.527297222222224)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJDG-C,POINT (134.1648888888889 35.527297222222224)
TRE,N35-31-38.27,E134-09-53.60,NAV,RJDG-E,POINT (134.1648888888889 35.527297222222224)
TRE,S43-12-09.04,W065-14-50.16,NAV,SAVF,POINT (-65.24726666666666 -43.202511111111114)
TRF,N31-41-46.01,E038-44-08.10,NAV,OEJD,POINT (38.73558333333333 31.69611388888889)
TRF,N31-41-46.01,E038-44-08.10,NAV,OEJD-3,POINT (38.73558333333333 31.69611388888889)
TRF,N31-41-46.01,E038-44-08.10,NAV,OEJD-N,POINT (38.73558333333333 31.69611388888889)
TRF,N31-41-46.01,E038-44-08.10,NAV,OERD,POINT (38.73558333333333 31.69611388888889)
TRF,N31-41-46.01,E038-44-08.10,NAV,OERD-N,POINT (38.73558333333333 31.69611388888889)
TRI,S14-47-56.99,W064-56-17.02,NAV,SLLF,POINT (-64.93806111111111 -14.799163888888888)
TRK,N03-19-32.15,E117-33-41.86,NAV,WAAF,POINT (117.56162777777777 3.325597222222222)
TRK,N03-19-32.15,E117-33-41.86,NAV,WAAF-BN,POINT (117.56162777777777 3.325597222222222)
TRK,N43-19-32.29,E068-34-46.10,NAV,UAII,POINT (68.57947222222222 43.325636111111116)
TRL,N37-24-13.57,E022-20-25.05,NAV,LGGG,POINT (22.340291666666666 37.40376944444444)
TRL,N37-24-13.57,E022-20-25.05,NAV,LGGG-KFN,POINT (22.340291666666666 37.40376944444444)
TRL,N37-24-13.57,E022-20-25.05,NAV,LGGG-KRK,POINT (22.340291666666666 37.40376944444444)
TRL,N37-24-13.57,E022-20-25.05,NAV,LGGG-PLH,POINT (22.340291666666666 37.40376944444444)
TRM,N33-37-41.16,W116-09-36.67,NAV,KZLA,POINT (-116.16018611111112 33.6281)
TRN,N35-41-49.06,E051-17-01.58,NAV,OIIX,POINT (51.28377222222222 35.69696111111111)
TRN,N35-41-49.06,E051-17-01.58,NAV,TEH-2E,POINT (51.28377222222222 35.69696111111111)
TRN,N35-41-49.06,E051-17-01.58,NAV,TEH-2,POINT (51.28377222222222 35.69696111111111)
TRN,N35-41-49.06,E051-17-01.58,NAV,TEH-W,POINT (51.28377222222222 35.69696111111111)
TRN,N35-41-49.06,E051-17-01.58,NAV,TEH-N,POINT (51.28377222222222 35.69696111111111)
TRN,N55-18-48.30,W004-47-01.89,NAV,EGPX,POINT (-4.783858333333333 55.31341666666666)
TRN,N55-18-48.30,W004-47-01.89,NAV,EGPX-D,POINT (-4.783858333333333 55.31341666666666)
TRN,N55-18-48.30,W004-47-01.89,NAV,EGPX-S,POINT (-4.783858333333333 55.31341666666666)
TRN,N55-18-48.30,W004-47-01.89,NAV,EGPX-WD,POINT (-4.783858333333333 55.31341666666666)
TRN,N55-18-48.30,W004-47-01.89,NAV,EGVV,POINT (-4.783858333333333 55.31341666666666)
TRN,N41-24-58.03,E019-43-05.46,NAV,ADR,POINT (19.718183333333332 41.41611944444444)
TRN,N41-24-58.03,E019-43-05.46,NAV,ADR-E,POINT (19.718183333333332 41.41611944444444)
TRN,N41-24-58.03,E019-43-05.46,NAV,LAAA,POINT (19.718183333333332 41.41611944444444)
TRN,N10-05-00.20,E105-42-19.93,NAV,XVCL,POINT (105.70553611111112 10.083388888888889)
TRN,N10-05-00.20,E105-42-19.93,NAV,VVHM,POINT (105.70553611111112 10.083388888888889)
TRN,N10-05-00.20,E105-42-19.93,NAV,VVHM-B,POINT (105.70553611111112 10.083388888888889)
TRN,N10-05-00.20,E105-42-19.93,NAV,VVHM-3,POINT (105.70553611111112 10.083388888888889)
TRN,N10-05-00.20,E105-42-19.93,NAV,VVHM-4,POINT (105.70553611111112 10.083388888888889)
TRN,N10-05-00.20,E105-42-19.93,NAV,VVHM-7,POINT (105.70553611111112 10.083388888888889)
TRN,N07-30-32.11,E099-37-33.67,NAV,VTBB,POINT (99.62601944444444 7.5089194444444445)
TRN,N07-30-32.11,E099-37-33.67,NAV,VTBB-3S,POINT (99.62601944444444 7.5089194444444445)
TRN,N07-30-32.11,E099-37-33.67,NAV,VTBB-S,POINT (99.62601944444444 7.5089194444444445)
TRN,N07-30-32.11,E099-37-33.67,NAV,VTBB-SW,POINT (99.62601944444444 7.5089194444444445)
TRN,N27-52-05.96,E109-17-36.04,NAV,ZPKM,POINT (109.29334444444444 27.868322222222222)
TRN,N27-52-05.96,E109-17-36.04,NAV,ZUGY,POINT (109.29334444444444 27.868322222222222)
TRN,N27-52-05.96,E109-17-36.04,NAV,ZUUU,POINT (109.29334444444444 27.868322222222222)
TRO,N48-15-04.40,E003-57-47.33,NAV,LFEE,POINT (3.9631472222222226 48.251222222222225)
TRO,N48-15-04.40,E003-57-47.33,NAV,LFEE-E,POINT (3.9631472222222226 48.251222222222225)
